0, 2, 12, 12, 15, 12
1, 3, 0, 5, 78, 13
2, 3, 0, 0, 78, 63
3, 3, 4, 0, 78, 70
4, 3, 12, 6, 78, 24
5, 3, 1, 18, 78, 20
6, 3, 1, 2, 78, 117
7, 3, 4, 0, 78, 128
8, 3, 12, 5, 78, 0
9, 3, 7, 18, 78, 0
10, 3, 2, 2, 78, 150
11, 3, 4, 0, 78, 206
12, 4, 12, 5, 78, 0
13, 4, 7, 18, 78, 0
14, 4, 2, 2, 78, 26
15, 5, 4, 0, 78, 283
16, 4, 12, 5, 78, 50
17, 4, 7, 18, 78, 0
18, 4, 2, 2, 78, 0
19, 3, 4, 0, 78, 210
20, 2, 12, 5, 78, 130
21, 2, 7, 18, 78, 0
22, 2, 2, 2, 78, 0
23, 2, 4, 0, 78, 110
24, 2, 12, 5, 78, 209
25, 2, 7, 18, 78, 0
26, 2, 2, 2, 78, 0
27, 2, 4, 0, 78, 25
28, 2, 12, 5, 78, 287
29, 1, 7, 18, 78, 53
30, 1, 2, 2, 78, 0
31, 2, 4, 0, 78, 0
32, 2, 12, 5, 78, 208
33, 2, 7, 18, 78, 131
34, 2, 2, 2, 78, 0
35, 2, 4, 0, 78, 0
36, 2, 12, 5, 78, 101
37, 2, 7, 18, 78, 209
38, 2, 2, 2, 78, 0
39, 2, 4, 0, 78, 0
40, 2, 12, 5, 78, 25
41, 2, 7, 18, 78, 287
42, 2, 2, 2, 78, 53
43, 3, 4, 0, 78, 0
44, 3, 12, 5, 78, 0
45, 4, 7, 18, 78, 204
46, 5, 2, 2, 78, 129
47, 5, 4, 0, 78, 0
48, 7, 12, 5, 78, 0
49, 7, 7, 18, 78, 96
50, 9, 2, 2, 78, 204
51, 7, 4, 0, 78, 0
